"GEO","Date","Inc10k_less","Inc10_39k","Inc40_59k","Inc60_79k","Inc80_99k","Inc100_149k","Inc100k_over","Inc150k_over"
"Alberta",2013-01-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-02-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-03-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-05-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-06-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-07-01,0.042,0.167,0.127,0.12,0.099,0.2,0.445,0.245
"Alberta",2013-08-01,0.041,0.166,0.127,0.12,0.1,0.201,0.446,0.244
"Alberta",2013-09-01,0.04,0.166,0.126,0.119,0.101,0.203,0.447,0.244
"Alberta",2013-10-01,0.04,0.165,0.126,0.119,0.102,0.204,0.448,0.244
"Alberta",2013-11-01,0.039,0.165,0.126,0.118,0.103,0.206,0.449,0.243
"Alberta",2013-12-01,0.038,0.164,0.126,0.118,0.104,0.207,0.45,0.242
"Alberta",2014-01-01,0.038,0.164,0.126,0.117,0.105,0.209,0.45,0.242
"Alberta",2014-02-01,0.037,0.163,0.125,0.117,0.106,0.21,0.451,0.242
"Alberta",2014-03-01,0.036,0.162,0.125,0.117,0.107,0.211,0.452,0.241
"Alberta",2014-04-01,0.035,0.162,0.125,0.116,0.108,0.213,0.453,0.24
"Alberta",2014-05-01,0.034,0.161,0.124,0.116,0.109,0.214,0.454,0.24
"Alberta",2014-06-01,0.034,0.161,0.124,0.115,0.11,0.216,0.455,0.24
"Alberta",2014-07-01,0.033,0.16,0.124,0.115,0.111,0.217,0.456,0.239
"Alberta",2014-08-01,0.032,0.16,0.125,0.116,0.111,0.216,0.456,0.24
"Alberta",2014-09-01,0.031,0.16,0.126,0.116,0.11,0.215,0.456,0.241
"Alberta",2014-10-01,0.03,0.16,0.126,0.117,0.11,0.214,0.456,0.242
"Alberta",2014-11-01,0.03,0.161,0.127,0.117,0.109,0.213,0.456,0.243
"Alberta",2014-12-01,0.029,0.161,0.128,0.118,0.109,0.212,0.456,0.244
"Alberta",2015-01-01,0.028,0.161,0.128,0.118,0.108,0.211,0.456,0.246
"Alberta",2015-02-01,0.027,0.161,0.129,0.119,0.108,0.21,0.457,0.247
"Alberta",2015-03-01,0.026,0.161,0.13,0.12,0.107,0.209,0.457,0.248
"Alberta",2015-04-01,0.026,0.162,0.131,0.12,0.106,0.208,0.457,0.249
"Alberta",2015-05-01,0.025,0.162,0.132,0.121,0.106,0.207,0.457,0.25
"Alberta",2015-06-01,0.024,0.162,0.132,0.121,0.106,0.206,0.457,0.251
"Alberta",2015-07-01,0.023,0.162,0.133,0.122,0.105,0.205,0.457,0.252
"Alberta",2015-08-01,0.023,0.164,0.132,0.122,0.104,0.207,0.456,0.249
"Alberta",2015-09-01,0.023,0.166,0.131,0.122,0.104,0.209,0.455,0.246
"Alberta",2015-10-01,0.024,0.168,0.13,0.122,0.104,0.211,0.454,0.242
"Alberta",2015-11-01,0.024,0.171,0.13,0.122,0.103,0.213,0.452,0.239
"Alberta",2015-12-01,0.024,0.173,0.129,0.122,0.102,0.215,0.451,0.236
"Alberta",2016-01-01,0.024,0.175,0.128,0.122,0.102,0.217,0.45,0.233
"Alberta",2016-02-01,0.024,0.177,0.127,0.122,0.102,0.219,0.449,0.23
"Alberta",2016-03-01,0.024,0.179,0.126,0.122,0.101,0.221,0.448,0.227
"Alberta",2016-04-01,0.024,0.182,0.126,0.122,0.1,0.223,0.446,0.224
"Alberta",2016-05-01,0.025,0.184,0.125,0.122,0.1,0.225,0.445,0.22
"Alberta",2016-06-01,0.025,0.186,0.124,0.122,0.1,0.227,0.444,0.217
"Alberta",2016-07-01,0.025,0.188,0.123,0.122,0.099,0.229,0.443,0.214
"Alberta",2016-08-01,0.024,0.188,0.124,0.122,0.099,0.226,0.442,0.216
"Alberta",2016-09-01,0.024,0.188,0.126,0.122,0.1,0.223,0.441,0.218
"Alberta",2016-10-01,0.024,0.188,0.127,0.122,0.1,0.22,0.44,0.22
"Alberta",2016-11-01,0.023,0.187,0.128,0.121,0.1,0.217,0.439,0.222
"Alberta",2016-12-01,0.022,0.187,0.13,0.121,0.101,0.214,0.438,0.224
"Alberta",2017-01-01,0.022,0.187,0.131,0.121,0.101,0.211,0.438,0.226
"Alberta",2017-02-01,0.021,0.187,0.132,0.121,0.101,0.209,0.437,0.228
"Alberta",2017-03-01,0.021,0.187,0.134,0.121,0.102,0.206,0.436,0.23
"Alberta",2017-04-01,0.02,0.186,0.135,0.12,0.102,0.203,0.435,0.232
"Alberta",2017-05-01,0.02,0.186,0.136,0.12,0.102,0.2,0.434,0.234
"Alberta",2017-06-01,0.02,0.186,0.138,0.12,0.103,0.197,0.433,0.236
"Alberta",2017-07-01,0.019,0.186,0.139,0.12,0.103,0.194,0.432,0.238
"Alberta",2017-08-01,0.02,0.185,0.138,0.12,0.104,0.194,0.432,0.238
"Alberta",2017-09-01,0.021,0.184,0.137,0.12,0.105,0.194,0.432,0.238
"Alberta",2017-10-01,0.022,0.184,0.136,0.12,0.106,0.194,0.431,0.237
"Alberta",2017-11-01,0.023,0.183,0.135,0.12,0.108,0.194,0.431,0.237
"Alberta",2017-12-01,0.024,0.182,0.134,0.12,0.109,0.194,0.431,0.237
"Alberta",2018-01-01,0.025,0.181,0.134,0.12,0.11,0.194,0.43,0.236
"Alberta",2018-02-01,0.026,0.18,0.133,0.119,0.111,0.193,0.43,0.236
"Alberta",2018-03-01,0.027,0.179,0.132,0.119,0.112,0.193,0.43,0.236
"Alberta",2018-04-01,0.028,0.179,0.131,0.119,0.113,0.193,0.43,0.236
"Alberta",2018-05-01,0.029,0.178,0.13,0.119,0.115,0.193,0.43,0.236
"Alberta",2018-06-01,0.03,0.177,0.129,0.119,0.116,0.193,0.429,0.235
"Alberta",2018-07-01,0.031,0.176,0.128,0.119,0.117,0.193,0.429,0.235
"Alberta",2018-08-01,0.031,0.175,0.13,0.119,0.117,0.192,0.428,0.236
"Alberta",2018-09-01,0.031,0.174,0.131,0.12,0.117,0.19,0.427,0.236
"Alberta",2018-10-01,0.03,0.174,0.133,0.12,0.116,0.188,0.426,0.237
"Alberta",2018-11-01,0.03,0.173,0.135,0.121,0.116,0.187,0.425,0.238
"Alberta",2018-12-01,0.03,0.172,0.136,0.121,0.116,0.186,0.424,0.238
"Alberta",2019-01-01,0.03,0.171,0.138,0.122,0.116,0.184,0.424,0.239
"Alberta",2019-02-01,0.03,0.17,0.14,0.122,0.116,0.182,0.423,0.24
"Alberta",2019-03-01,0.03,0.169,0.141,0.122,0.116,0.181,0.422,0.24
"Alberta",2019-04-01,0.029,0.168,0.143,0.123,0.116,0.18,0.421,0.241
"Alberta",2019-05-01,0.029,0.168,0.145,0.123,0.115,0.178,0.42,0.242
"Alberta",2019-06-01,0.029,0.167,0.146,0.124,0.115,0.176,0.419,0.242
"Alberta",2019-07-01,0.029,0.166,0.148,0.124,0.115,0.175,0.418,0.243
"Alberta",2019-08-01,0.028,0.167,0.147,0.123,0.115,0.176,0.419,0.243
"Alberta",2019-09-01,0.028,0.168,0.145,0.123,0.116,0.178,0.42,0.243
"Alberta",2019-10-01,0.027,0.169,0.144,0.122,0.116,0.179,0.422,0.243
"Alberta",2019-11-01,0.026,0.17,0.143,0.121,0.117,0.18,0.423,0.243
"Alberta",2019-12-01,0.026,0.171,0.141,0.121,0.117,0.181,0.424,0.243
"Alberta",2020-01-01,0.025,0.172,0.14,0.12,0.117,0.182,0.426,0.244
"Alberta",2020-02-01,0.024,0.173,0.139,0.119,0.118,0.184,0.427,0.244
"Alberta",2020-03-01,0.024,0.174,0.137,0.119,0.118,0.185,0.428,0.244
"Alberta",2020-04-01,0.023,0.175,0.136,0.118,0.119,0.186,0.429,0.244
"Alberta",2020-05-01,0.022,0.176,0.135,0.117,0.119,0.188,0.43,0.244
"Alberta",2020-06-01,0.022,0.177,0.133,0.117,0.12,0.189,0.432,0.244
"Alberta",2020-07-01,0.021,0.178,0.132,0.116,0.12,0.19,0.433,0.244
"Alberta",2020-08-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2020-09-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2020-10-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2020-11-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2020-12-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2021-01-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2021-02-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2021-03-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2021-04-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2021-05-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2021-06-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2021-07-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2021-08-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2021-09-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2021-10-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2021-11-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2021-12-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2013-01-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2013-02-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2013-03-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2013-05-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2013-06-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2013-07-01,0.055,0.254,0.152,0.123,0.108,0.159,0.309,0.15
"British Columbia",2013-08-01,0.054,0.254,0.152,0.124,0.107,0.159,0.308,0.149
"British Columbia",2013-09-01,0.054,0.255,0.152,0.125,0.106,0.16,0.308,0.148
"British Columbia",2013-10-01,0.054,0.255,0.152,0.126,0.106,0.16,0.307,0.147
"British Columbia",2013-11-01,0.053,0.256,0.152,0.127,0.105,0.16,0.307,0.146
"British Columbia",2013-12-01,0.052,0.256,0.152,0.128,0.104,0.161,0.306,0.145
"British Columbia",2014-01-01,0.052,0.256,0.153,0.13,0.103,0.161,0.306,0.145
"British Columbia",2014-02-01,0.052,0.257,0.153,0.131,0.102,0.161,0.305,0.144
"British Columbia",2014-03-01,0.051,0.257,0.153,0.132,0.101,0.162,0.304,0.143
"British Columbia",2014-04-01,0.051,0.258,0.153,0.133,0.1,0.162,0.304,0.142
"British Columbia",2014-05-01,0.05,0.258,0.153,0.134,0.1,0.162,0.303,0.141
"British Columbia",2014-06-01,0.05,0.259,0.153,0.135,0.099,0.163,0.303,0.14
"British Columbia",2014-07-01,0.049,0.259,0.153,0.136,0.098,0.163,0.302,0.139
"British Columbia",2014-08-01,0.05,0.261,0.151,0.134,0.098,0.163,0.304,0.141
"British Columbia",2014-09-01,0.051,0.263,0.15,0.131,0.098,0.163,0.305,0.143
"British Columbia",2014-10-01,0.052,0.265,0.148,0.129,0.098,0.162,0.306,0.144
"British Columbia",2014-11-01,0.053,0.267,0.146,0.126,0.098,0.162,0.308,0.146
"British Columbia",2014-12-01,0.054,0.269,0.145,0.124,0.098,0.162,0.31,0.148
"British Columbia",2015-01-01,0.054,0.271,0.143,0.122,0.098,0.162,0.311,0.15
"British Columbia",2015-02-01,0.055,0.273,0.141,0.119,0.099,0.162,0.312,0.151
"British Columbia",2015-03-01,0.056,0.275,0.14,0.117,0.099,0.162,0.314,0.153
"British Columbia",2015-04-01,0.057,0.277,0.138,0.114,0.099,0.162,0.316,0.155
"British Columbia",2015-05-01,0.058,0.279,0.136,0.112,0.099,0.161,0.317,0.156
"British Columbia",2015-06-01,0.059,0.281,0.135,0.109,0.099,0.161,0.318,0.158
"British Columbia",2015-07-01,0.06,0.283,0.133,0.107,0.099,0.161,0.32,0.16
"British Columbia",2015-08-01,0.06,0.281,0.134,0.108,0.1,0.161,0.319,0.159
"British Columbia",2015-09-01,0.059,0.279,0.136,0.108,0.1,0.161,0.318,0.158
"British Columbia",2015-10-01,0.059,0.277,0.138,0.109,0.101,0.162,0.317,0.156
"British Columbia",2015-11-01,0.059,0.275,0.139,0.11,0.101,0.162,0.316,0.155
"British Columbia",2015-12-01,0.058,0.273,0.141,0.111,0.102,0.162,0.315,0.154
"British Columbia",2016-01-01,0.058,0.272,0.142,0.112,0.103,0.162,0.314,0.153
"British Columbia",2016-02-01,0.058,0.27,0.144,0.112,0.103,0.162,0.314,0.152
"British Columbia",2016-03-01,0.057,0.268,0.145,0.113,0.104,0.162,0.313,0.151
"British Columbia",2016-04-01,0.057,0.266,0.146,0.114,0.104,0.162,0.312,0.15
"British Columbia",2016-05-01,0.057,0.264,0.148,0.114,0.105,0.163,0.311,0.148
"British Columbia",2016-06-01,0.056,0.262,0.15,0.115,0.105,0.163,0.31,0.147
"British Columbia",2016-07-01,0.056,0.26,0.151,0.116,0.106,0.163,0.309,0.146
"British Columbia",2016-08-01,0.055,0.26,0.15,0.116,0.106,0.165,0.311,0.146
"British Columbia",2016-09-01,0.053,0.26,0.15,0.117,0.106,0.166,0.313,0.147
"British Columbia",2016-10-01,0.052,0.259,0.149,0.118,0.106,0.168,0.315,0.147
"British Columbia",2016-11-01,0.051,0.259,0.148,0.118,0.107,0.169,0.317,0.147
"British Columbia",2016-12-01,0.05,0.259,0.147,0.119,0.107,0.171,0.319,0.148
"British Columbia",2017-01-01,0.048,0.258,0.147,0.119,0.107,0.172,0.32,0.148
"British Columbia",2017-02-01,0.047,0.258,0.146,0.12,0.107,0.174,0.322,0.148
"British Columbia",2017-03-01,0.046,0.258,0.145,0.12,0.107,0.176,0.324,0.149
"British Columbia",2017-04-01,0.045,0.258,0.144,0.12,0.108,0.177,0.326,0.149
"British Columbia",2017-05-01,0.044,0.258,0.144,0.121,0.108,0.179,0.328,0.149
"British Columbia",2017-06-01,0.042,0.257,0.143,0.122,0.108,0.18,0.33,0.15
"British Columbia",2017-07-01,0.041,0.257,0.142,0.122,0.108,0.182,0.332,0.15
"British Columbia",2017-08-01,0.042,0.256,0.144,0.122,0.107,0.182,0.332,0.151
"British Columbia",2017-09-01,0.042,0.254,0.145,0.122,0.106,0.182,0.333,0.151
"British Columbia",2017-10-01,0.043,0.253,0.147,0.121,0.105,0.181,0.333,0.152
"British Columbia",2017-11-01,0.044,0.252,0.148,0.121,0.104,0.181,0.333,0.152
"British Columbia",2017-12-01,0.044,0.251,0.15,0.121,0.103,0.181,0.334,0.153
"British Columbia",2018-01-01,0.045,0.25,0.151,0.12,0.102,0.18,0.334,0.154
"British Columbia",2018-02-01,0.046,0.248,0.152,0.12,0.1,0.18,0.334,0.154
"British Columbia",2018-03-01,0.046,0.247,0.154,0.12,0.099,0.18,0.335,0.155
"British Columbia",2018-04-01,0.047,0.246,0.156,0.12,0.098,0.18,0.335,0.155
"British Columbia",2018-05-01,0.048,0.244,0.157,0.12,0.097,0.18,0.335,0.156
"British Columbia",2018-06-01,0.048,0.243,0.158,0.119,0.096,0.179,0.336,0.156
"British Columbia",2018-07-01,0.049,0.242,0.16,0.119,0.095,0.179,0.336,0.157
"British Columbia",2018-08-01,0.049,0.241,0.159,0.119,0.096,0.178,0.336,0.157
"British Columbia",2018-09-01,0.05,0.241,0.158,0.119,0.098,0.178,0.336,0.158
"British Columbia",2018-10-01,0.05,0.24,0.158,0.118,0.099,0.177,0.335,0.158
"British Columbia",2018-11-01,0.05,0.24,0.157,0.118,0.1,0.177,0.335,0.158
"British Columbia",2018-12-01,0.051,0.239,0.156,0.118,0.101,0.176,0.335,0.159
"British Columbia",2019-01-01,0.051,0.238,0.156,0.118,0.103,0.176,0.334,0.159
"British Columbia",2019-02-01,0.051,0.238,0.155,0.118,0.104,0.175,0.334,0.159
"British Columbia",2019-03-01,0.052,0.237,0.154,0.118,0.105,0.174,0.334,0.16
"British Columbia",2019-04-01,0.052,0.237,0.153,0.117,0.106,0.174,0.334,0.16
"British Columbia",2019-05-01,0.052,0.236,0.153,0.117,0.108,0.173,0.333,0.16
"British Columbia",2019-06-01,0.053,0.236,0.152,0.117,0.109,0.173,0.333,0.161
"British Columbia",2019-07-01,0.053,0.235,0.151,0.117,0.11,0.172,0.333,0.161
"British Columbia",2019-08-01,0.051,0.233,0.151,0.119,0.11,0.173,0.335,0.162
"British Columbia",2019-09-01,0.05,0.23,0.152,0.12,0.111,0.174,0.336,0.163
"British Columbia",2019-10-01,0.048,0.228,0.152,0.122,0.112,0.174,0.338,0.164
"British Columbia",2019-11-01,0.046,0.226,0.152,0.124,0.112,0.175,0.34,0.165
"British Columbia",2019-12-01,0.044,0.223,0.153,0.126,0.112,0.176,0.341,0.166
"British Columbia",2020-01-01,0.042,0.221,0.153,0.128,0.113,0.176,0.343,0.166
"British Columbia",2020-02-01,0.041,0.219,0.153,0.129,0.114,0.177,0.345,0.167
"British Columbia",2020-03-01,0.039,0.216,0.154,0.131,0.114,0.178,0.346,0.168
"British Columbia",2020-04-01,0.037,0.214,0.154,0.133,0.114,0.179,0.348,0.169
"British Columbia",2020-05-01,0.036,0.212,0.154,0.134,0.115,0.18,0.35,0.17
"British Columbia",2020-06-01,0.034,0.209,0.155,0.136,0.116,0.18,0.351,0.171
"British Columbia",2020-07-01,0.032,0.207,0.155,0.138,0.116,0.181,0.353,0.172
"British Columbia",2020-08-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2020-09-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2020-10-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2020-11-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2020-12-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2021-01-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2021-02-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2021-03-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2021-04-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2021-05-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2021-06-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2021-07-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2021-08-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2021-09-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2021-10-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2021-11-01,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",2021-12-01,NA,NA,NA,NA,NA,NA,NA,NA
"Calgary",2013-01-01,NA,NA,NA,NA,NA,NA,NA,NA
"Calgary",2013-02-01,NA,NA,NA,NA,NA,NA,NA,NA
"Calgary",2013-03-01,NA,NA,NA,NA,NA,NA,NA,NA
"Calgary",2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA
"Calgary",2013-05-01,NA,NA,NA,NA,NA,NA,NA,NA
"Calgary",2013-06-01,NA,NA,NA,NA,NA,NA,NA,NA
"Calgary",2013-07-01,0.051,0.173,0.119,0.105,0.081,0.186,0.471,0.286
"Calgary",2013-08-01,0.05,0.169,0.119,0.104,0.084,0.188,0.475,0.289
"Calgary",2013-09-01,0.05,0.166,0.119,0.103,0.086,0.189,0.48,0.291
"Calgary",2013-10-01,0.049,0.162,0.119,0.102,0.088,0.191,0.484,0.294
"Calgary",2013-11-01,0.048,0.159,0.119,0.101,0.091,0.192,0.488,0.297
"Calgary",2013-12-01,0.048,0.156,0.119,0.1,0.094,0.194,0.493,0.299
"Calgary",2014-01-01,0.047,0.152,0.119,0.1,0.096,0.196,0.497,0.302
"Calgary",2014-02-01,0.046,0.148,0.119,0.099,0.098,0.197,0.501,0.305
"Calgary",2014-03-01,0.046,0.145,0.119,0.098,0.101,0.199,0.506,0.307
"Calgary",2014-04-01,0.045,0.142,0.119,0.097,0.104,0.2,0.51,0.31
"Calgary",2014-05-01,0.045,0.138,0.119,0.096,0.106,0.202,0.514,0.313
"Calgary",2014-06-01,0.044,0.134,0.119,0.095,0.108,0.203,0.519,0.315
"Calgary",2014-07-01,0.043,0.131,0.119,0.094,0.111,0.205,0.523,0.318
"Calgary",2014-08-01,0.043,0.134,0.12,0.097,0.111,0.203,0.517,0.313
"Calgary",2014-09-01,0.042,0.136,0.12,0.1,0.111,0.202,0.51,0.308
"Calgary",2014-10-01,0.041,0.139,0.121,0.102,0.111,0.2,0.504,0.303
"Calgary",2014-11-01,0.041,0.141,0.121,0.105,0.111,0.199,0.497,0.298
"Calgary",2014-12-01,0.04,0.144,0.122,0.108,0.111,0.197,0.491,0.293
"Calgary",2015-01-01,0.039,0.147,0.122,0.11,0.111,0.196,0.485,0.288
"Calgary",2015-02-01,0.039,0.149,0.123,0.113,0.112,0.194,0.478,0.284
"Calgary",2015-03-01,0.038,0.152,0.124,0.116,0.112,0.193,0.472,0.279
"Calgary",2015-04-01,0.037,0.154,0.124,0.119,0.112,0.192,0.465,0.274
"Calgary",2015-05-01,0.037,0.157,0.125,0.122,0.112,0.19,0.459,0.269
"Calgary",2015-06-01,0.036,0.159,0.125,0.124,0.112,0.188,0.452,0.264
"Calgary",2015-07-01,0.035,0.162,0.126,0.127,0.112,0.187,0.446,0.259
"Calgary",2015-08-01,0.035,0.165,0.124,0.129,0.113,0.189,0.442,0.253
"Calgary",2015-09-01,0.034,0.168,0.122,0.131,0.114,0.192,0.439,0.248
"Calgary",2015-10-01,0.034,0.171,0.121,0.133,0.114,0.194,0.436,0.242
"Calgary",2015-11-01,0.033,0.174,0.119,0.135,0.115,0.196,0.432,0.236
"Calgary",2015-12-01,0.032,0.177,0.117,0.137,0.116,0.199,0.428,0.23
"Calgary",2016-01-01,0.032,0.18,0.116,0.139,0.117,0.201,0.425,0.224
"Calgary",2016-02-01,0.031,0.184,0.114,0.141,0.118,0.203,0.422,0.219
"Calgary",2016-03-01,0.03,0.187,0.112,0.143,0.119,0.206,0.418,0.213
"Calgary",2016-04-01,0.03,0.19,0.11,0.145,0.12,0.208,0.414,0.207
