"Date","Credit_rate","InMort_total","InMort_var","InMort_fix0_1","InMort_fix1_over","UnMort_total","UnMort_var","UnMort_fix0_1","UnMort_fix1_over"
2013-01-01,0.0575,0.0323,0.0357,0.0514,0.0300333333333333,0.0314,0.0345,0.0458,0.0299333333333333
2013-02-01,0.0565,0.0319,0.0352,0.0498,0.0298333333333333,0.0312,0.0347,0.0456,0.0297666666666667
2013-03-01,0.0562,0.0313,0.0351,0.0489,0.0294333333333333,0.0307,0.0348,0.0445,0.0294333333333333
2013-04-01,0.0539,0.0311,0.0352,0.0489,0.0294333333333333,0.0303,0.0351,0.044,0.0291666666666667
2013-05-01,0.0542,0.0309,0.035,0.0478,0.0292333333333333,0.0301,0.0344,0.043,0.0290666666666667
2013-06-01,0.0525,0.0308,0.0349,0.0475,0.0291,0.03,0.0345,0.044,0.0288666666666667
2013-07-01,0.0538,0.0314,0.0331,0.0495,0.0296,0.0307,0.0327,0.0454,0.0298
2013-08-01,0.0547,0.0322,0.0313,0.0489,0.0307,0.0312,0.031,0.0446,0.0306333333333333
2013-09-01,0.0547,0.0331,0.0303,0.0492,0.0316333333333333,0.0318,0.0299,0.0475,0.0316666666666667
2013-10-01,0.0558,0.0332,0.0295,0.0512,0.0322666666666667,0.0321,0.0293,0.0466,0.0326
2013-11-01,0.0563,0.033,0.0288,0.0497,0.0324666666666667,0.0319,0.0287,0.0469,0.0330666666666667
2013-12-01,0.0551,0.0327,0.0286,0.0508,0.0317666666666667,0.0316,0.0285,0.0475,0.0328666666666667
2014-01-01,0.0578,0.0328,0.0283,0.0519,0.0322,0.0315,0.0281,0.049,0.0328333333333333
2014-02-01,0.0564,0.0322,0.0283,0.0529,0.0315666666666667,0.0312,0.0281,0.0492,0.0321333333333333
2014-03-01,0.0569,0.032,0.0284,0.0541,0.0308333333333333,0.0308,0.0282,0.0508,0.0313333333333333
2014-04-01,0.0549,0.0316,0.0288,0.0551,0.0299666666666667,0.0304,0.0283,0.0499,0.0304
2014-05-01,0.0535,0.0317,0.0287,0.0552,0.0299,0.0304,0.0285,0.0459,0.0303333333333333
2014-06-01,0.054,0.0316,0.0288,0.0548,0.0297333333333333,0.0301,0.0281,0.0457,0.0301
2014-07-01,0.0536,0.0313,0.0287,0.0554,0.0293333333333333,0.0297,0.0278,0.0432,0.0296333333333333
2014-08-01,0.0542,0.0306,0.0285,0.0533,0.0289,0.0296,0.0277,0.0449,0.0295333333333333
2014-09-01,0.0532,0.0304,0.0288,0.052,0.0288,0.0294,0.0275,0.0454,0.0294333333333333
2014-10-01,0.0546,0.0301,0.0284,0.0512,0.0287,0.0293,0.0273,0.0451,0.0294
2014-11-01,0.0547,0.0304,0.028,0.0497,0.0290666666666667,0.0296,0.0271,0.0458,0.0299666666666667
2014-12-01,0.0546,0.0305,0.0276,0.0507,0.0293,0.0296,0.0269,0.0458,0.03
2015-01-01,0.0552,0.0304,0.0266,0.0508,0.0295,0.0291,0.0258,0.0463,0.0301333333333333
2015-02-01,0.0543,0.0287,0.0255,0.0507,0.0280666666666667,0.028,0.0248,0.0477,0.0292333333333333
2015-03-01,0.0541,0.0284,0.0253,0.0513,0.0273666666666667,0.0274,0.0248,0.0485,0.0279333333333333
2015-04-01,0.052,0.0282,0.0256,0.0526,0.0264,0.0269,0.0247,0.0488,0.0269666666666667
2015-05-01,0.052,0.028,0.0257,0.0508,0.0262,0.0267,0.0246,0.0474,0.0266
2015-06-01,0.0518,0.0278,0.0256,0.0503,0.0262,0.0265,0.0247,0.0458,0.0264333333333333
2015-07-01,0.0509,0.0271,0.0238,0.0493,0.0260666666666667,0.0258,0.023,0.0441,0.0263666666666667
2015-08-01,0.05,0.0265,0.0228,0.0488,0.0258333333333333,0.0255,0.0226,0.0455,0.0266
2015-09-01,0.0506,0.0264,0.0226,0.0491,0.0256333333333333,0.0254,0.0223,0.0468,0.0265333333333333
2015-10-01,0.0515,0.0266,0.0228,0.0513,0.0259333333333333,0.0254,0.0223,0.0468,0.0265666666666667
2015-11-01,0.0516,0.0271,0.0237,0.0516,0.0257666666666667,0.0258,0.0231,0.0481,0.0264666666666667
2015-12-01,0.0524,0.0269,0.0246,0.051,0.0254,0.0264,0.024,0.0472,0.0266
2016-01-01,0.0522,0.0282,0.0269,0.051,0.0262333333333333,0.0268,0.0251,0.0468,0.0267666666666667
2016-02-01,0.0519,0.0288,0.028,0.0515,0.0264333333333333,0.0277,0.0264,0.0491,0.0272666666666667
2016-03-01,0.052,0.0293,0.0298,0.0518,0.0264,0.028,0.0281,0.0477,0.0270666666666667
2016-04-01,0.05,0.0283,0.0301,0.0506,0.0258666666666667,0.0272,0.0282,0.0473,0.0263333333333333
2016-05-01,0.0495,0.0277,0.0301,0.0496,0.0252333333333333,0.0267,0.0285,0.0469,0.0257
2016-06-01,0.0487,0.0275,0.0292,0.0493,0.0251,0.0264,0.0273,0.0463,0.0254333333333333
2016-07-01,0.0486,0.0271,0.028,0.0484,0.0249333333333333,0.0262,0.027,0.0461,0.0251
2016-08-01,0.0498,0.0272,0.0275,0.0475,0.0253333333333333,0.0261,0.0265,0.0448,0.0252333333333333
2016-09-01,0.0503,0.0271,0.0271,0.0484,0.0252666666666667,0.0262,0.0264,0.0456,0.0252
2016-10-01,0.0506,0.0268,0.0267,0.0483,0.0250666666666667,0.0262,0.0263,0.0454,0.0253
2016-11-01,0.0508,0.0268,0.0268,0.0492,0.0250666666666667,0.0261,0.0266,0.0448,0.0251666666666667
2016-12-01,0.0516,0.0269,0.0273,0.0498,0.0251666666666667,0.0266,0.0268,0.0459,0.0256333333333333
2017-01-01,0.0526,0.0284,0.027,0.0509,0.0265,0.0274,0.0269,0.0465,0.0265333333333333
2017-02-01,0.0517,0.0291,0.0267,0.0526,0.0270333333333333,0.0279,0.0263,0.0472,0.0271666666666667
2017-03-01,0.0507,0.0291,0.0266,0.0525,0.0269666666666667,0.0279,0.026,0.0474,0.0273
2017-04-01,0.0486,0.0287,0.026,0.0525,0.0266666666666667,0.0277,0.0256,0.0483,0.0271
2017-05-01,0.0483,0.0283,0.0255,0.0532,0.0263,0.0272,0.0253,0.0477,0.0266666666666667
2017-06-01,0.0477,0.028,0.0249,0.0546,0.0257666666666667,0.0268,0.025,0.0483,0.0262
2017-07-01,0.0496,0.0283,0.0275,0.0566,0.0258,0.0273,0.0271,0.05,0.0262333333333333
2017-08-01,0.0504,0.029,0.0267,0.0561,0.0270333333333333,0.0281,0.0274,0.047,0.0274
2017-09-01,0.0538,0.0312,0.0299,0.0556,0.0289666666666667,0.0299,0.0297,0.0475,0.0290333333333333
2017-10-01,0.0533,0.032,0.0305,0.0554,0.0299666666666667,0.0309,0.0302,0.0474,0.0301333333333333
2017-11-01,0.0539,0.0332,0.0297,0.0557,0.0313333333333333,0.0319,0.0298,0.0481,0.0313333333333333
2017-12-01,0.0559,0.0332,0.0293,0.055,0.0315333333333333,0.0323,0.0293,0.0489,0.0318666666666667
2018-01-01,0.0567,0.0337,0.0313,0.0567,0.0318666666666667,0.0329,0.0316,0.0511,0.0322
2018-02-01,0.0572,0.0342,0.0323,0.058,0.0322666666666667,0.0335,0.0321,0.0529,0.0326666666666667
2018-03-01,0.0571,0.0351,0.0328,0.0594,0.0327333333333333,0.034,0.032,0.0535,0.0331666666666667
2018-04-01,0.0555,0.0355,0.0321,0.0597,0.0330666666666667,0.034,0.0313,0.0549,0.0333333333333333
2018-05-01,0.0543,0.0347,0.0297,0.0592,0.0332,0.0334,0.0294,0.055,0.0335666666666667
2018-06-01,0.0541,0.0335,0.027,0.06,0.0337333333333333,0.0318,0.0269,0.056,0.0342666666666667
2018-07-01,0.0555,0.0351,0.0299,0.0602,0.0341,0.0331,0.0296,0.0548,0.0342333333333333
2018-08-01,0.0568,0.0354,0.0304,0.0598,0.0341333333333333,0.0338,0.0302,0.0547,0.0348333333333333
2018-09-01,0.0571,0.036,0.0312,0.0591,0.0343,0.0345,0.0307,0.0545,0.0350666666666667
2018-10-01,0.06,0.0359,0.0324,0.0571,0.0345333333333333,0.0356,0.0333,0.0536,0.0352666666666667
2018-11-01,0.0617,0.0366,0.0331,0.0554,0.0354,0.0364,0.0342,0.0525,0.0359666666666667
2018-12-01,0.0628,0.0378,0.034,0.0565,0.0363,0.0372,0.0351,0.0528,0.0366333333333333
2019-01-01,0.0639,0.0384,0.0352,0.056,0.0364666666666667,0.0372,0.0349,0.0521,0.0367333333333333
2019-02-01,0.0639,0.0382,0.0366,0.0545,0.0360333333333333,0.0373,0.0356,0.0516,0.0365333333333333
2019-03-01,0.0632,0.0376,0.0375,0.0544,0.0352,0.0368,0.0361,0.0516,0.0356333333333333
2019-04-01,0.0612,0.0359,0.0382,0.0559,0.0330666666666667,0.0352,0.0364,0.0519,0.0336
2019-05-01,0.0603,0.0345,0.039,0.0557,0.0319,0.0339,0.0363,0.0522,0.0325
2019-06-01,0.0596,0.0333,0.0399,0.0569,0.0312666666666667,0.0326,0.0368,0.0535,0.0316
2019-07-01,0.0595,0.0322,0.0408,0.0576,0.0305,0.0315,0.0374,0.0528,0.0308
2019-08-01,0.0596,0.0316,0.0415,0.0561,0.03,0.0311,0.0376,0.0516,0.0304
2019-09-01,0.0593,0.0312,0.0417,0.057,0.0294333333333333,0.031,0.0386,0.0537,0.0300333333333333
2019-10-01,0.0595,0.0312,0.0419,0.0564,0.0294,0.0308,0.0382,0.0529,0.0301
2019-11-01,0.0609,0.0313,0.0401,0.0552,0.03,0.0313,0.0374,0.052,0.0306666666666667
2019-12-01,0.0612,0.0323,0.0397,0.0548,0.0305666666666667,0.0317,0.0376,0.0509,0.0310666666666667
2020-01-01,0.0628,0.0324,0.0391,0.054,0.0307666666666667,0.032,0.0367,0.0511,0.0311666666666667
2020-02-01,0.0612,0.0319,0.0393,0.0531,0.0305,0.0318,0.037,0.0502,0.0308333333333333
2020-03-01,0.048,0.0303,0.0264,0.0582,0.0294,0.0289,0.0219,0.0548,0.0299
2020-04-01,0.0464,0.0285,0.0231,0.0548,0.0284333333333333,0.0271,0.0214,0.051,0.0291666666666667
2020-05-01,0.0456,0.0278,0.0247,0.0529,0.0274,0.0272,0.0232,0.05,0.0284666666666667
2020-06-01,0.0451,0.0268,0.0243,0.0537,0.0265,0.0266,0.0231,0.0494,0.0279333333333333
2020-07-01,0.0445,0.0257,0.0234,0.0538,0.0255666666666667,0.0255,0.0224,0.0496,0.0268
2020-08-01,0.0441,0.024,0.0222,0.0537,0.0242666666666667,0.024,0.0214,0.0497,0.0255333333333333
2020-09-01,0.043,0.023,0.0216,0.0524,0.0234333333333333,0.0229,0.0206,0.0494,0.0245333333333333
2020-10-01,0.0432,0.022,0.021,0.0511,0.0224666666666667,0.022,0.02,0.0481,0.0236666666666667
2020-11-01,0.0443,0.0218,0.0207,0.0546,0.0221666666666667,0.0217,0.0196,0.0501,0.0235
2020-12-01,0.0429,0.0216,0.0198,0.055,0.0219666666666667,0.0208,0.0187,0.0496,0.023
2021-01-01,0.0437,0.0212,0.0186,0.0559,0.0216,0.0202,0.0178,0.0512,0.0225333333333333
2021-02-01,0.0443,0.0206,0.0177,0.0555,0.0212666666666667,0.0198,0.0171,0.0496,0.0223333333333333
2021-03-01,0.0412,0.0204,0.0164,0.0547,0.0213666666666667,0.0194,0.016,0.0511,0.0222666666666667
2021-04-01,0.0435,0.0206,0.0157,0.0549,0.0217333333333333,0.0194,0.0155,0.0492,0.0229666666666667
2021-05-01,0.0443,0.0212,0.0159,0.0556,0.0226666666666667,0.0196,0.0155,0.0503,0.0239
2021-06-01,0.0437,0.0212,0.0157,0.0553,0.0228,0.0196,0.0155,0.0494,0.0240333333333333
2021-07-01,0.0446,0.0216,0.0153,0.0553,0.0231333333333333,0.0196,0.0152,0.05,0.0247666666666667
2021-08-01,0.0461,0.0218,0.0154,0.0559,0.0234333333333333,0.0195,0.0152,0.0497,0.0249333333333333
2021-09-01,0.046,0.0215,0.0148,0.0561,0.0231,0.0192,0.0148,0.0479,0.0247333333333333
2021-10-01,0.0467,0.0212,0.0146,0.0569,0.0228666666666667,0.0189,0.0145,0.0481,0.0244
2021-11-01,0.0471,0.0217,0.0146,0.0556,0.0234333333333333,0.0195,0.0147,0.0482,0.0252
2021-12-01,0.0464,0.0225,0.0146,0.0558,0.025,0.02,0.0149,0.0482,0.0263
