"Date","GEO","HPI"
2013-01-01,"Quebec",98.2
2013-01-01,"Montreal",97.3
2013-01-01,"Ontario",86.3
2013-01-01,"Ottawa",103.7
2013-01-01,"Oshawa",NA
2013-01-01,"Toronto",82.3
2013-01-01,"Hamilton",86.5
2013-01-01,"Niagara",85.9
2013-01-01,"Kitchener",91.1
2013-01-01,"Guelph",NA
2013-01-01,"London",91.1
2013-01-01,"Windsor",92.6
2013-01-01,"Sudbury",97.5
2013-01-01,"Alberta",95.6
2013-01-01,"Calgary",90.4
2013-01-01,"Edmonton",100.7
2013-01-01,"British Columbia",93.3
2013-01-01,"Kelowna",NA
2013-01-01,"Vancouver",93.1
2013-01-01,"Victoria",96.7
2013-02-01,"Quebec",98.3
2013-02-01,"Montreal",97.5
2013-02-01,"Ontario",86.1
2013-02-01,"Ottawa",103.4
2013-02-01,"Oshawa",NA
2013-02-01,"Toronto",82
2013-02-01,"Hamilton",86.5
2013-02-01,"Niagara",86.5
2013-02-01,"Kitchener",91.1
2013-02-01,"Guelph",NA
2013-02-01,"London",91.4
2013-02-01,"Windsor",92.6
2013-02-01,"Sudbury",97.5
2013-02-01,"Alberta",96.1
2013-02-01,"Calgary",91.5
2013-02-01,"Edmonton",100.7
2013-02-01,"British Columbia",93.4
2013-02-01,"Kelowna",NA
2013-02-01,"Vancouver",93.1
2013-02-01,"Victoria",96.7
2013-03-01,"Quebec",98.3
2013-03-01,"Montreal",97.5
2013-03-01,"Ontario",86.2
2013-03-01,"Ottawa",103.6
2013-03-01,"Oshawa",NA
2013-03-01,"Toronto",82.1
2013-03-01,"Hamilton",86.8
2013-03-01,"Niagara",86.5
2013-03-01,"Kitchener",91.1
2013-03-01,"Guelph",NA
2013-03-01,"London",91.4
2013-03-01,"Windsor",93.2
2013-03-01,"Sudbury",97.5
2013-03-01,"Alberta",96.4
2013-03-01,"Calgary",92
2013-03-01,"Edmonton",100.7
2013-03-01,"British Columbia",93.2
2013-03-01,"Kelowna",NA
2013-03-01,"Vancouver",92.9
2013-03-01,"Victoria",96.6
2013-04-01,"Quebec",98.2
2013-04-01,"Montreal",97.4
2013-04-01,"Ontario",86.3
2013-04-01,"Ottawa",103.6
2013-04-01,"Oshawa",NA
2013-04-01,"Toronto",82.2
2013-04-01,"Hamilton",87.9
2013-04-01,"Niagara",86.6
2013-04-01,"Kitchener",91.1
2013-04-01,"Guelph",NA
2013-04-01,"London",91.4
2013-04-01,"Windsor",93.2
2013-04-01,"Sudbury",97.5
2013-04-01,"Alberta",96.9
2013-04-01,"Calgary",92.8
2013-04-01,"Edmonton",100.9
2013-04-01,"British Columbia",93.3
2013-04-01,"Kelowna",NA
2013-04-01,"Vancouver",93
2013-04-01,"Victoria",96.7
2013-05-01,"Quebec",98.6
2013-05-01,"Montreal",97.8
2013-05-01,"Ontario",86.5
2013-05-01,"Ottawa",103.2
2013-05-01,"Oshawa",NA
2013-05-01,"Toronto",82.4
2013-05-01,"Hamilton",87.9
2013-05-01,"Niagara",87.2
2013-05-01,"Kitchener",91.2
2013-05-01,"Guelph",NA
2013-05-01,"London",91.4
2013-05-01,"Windsor",93.2
2013-05-01,"Sudbury",98
2013-05-01,"Alberta",97.2
2013-05-01,"Calgary",93.7
2013-05-01,"Edmonton",100.6
2013-05-01,"British Columbia",93
2013-05-01,"Kelowna",NA
2013-05-01,"Vancouver",92.7
2013-05-01,"Victoria",96.7
2013-06-01,"Quebec",98.7
2013-06-01,"Montreal",98
2013-06-01,"Ontario",86.5
2013-06-01,"Ottawa",103.1
2013-06-01,"Oshawa",NA
2013-06-01,"Toronto",82.4
2013-06-01,"Hamilton",87.6
2013-06-01,"Niagara",87.5
2013-06-01,"Kitchener",91.4
2013-06-01,"Guelph",NA
2013-06-01,"London",92
2013-06-01,"Windsor",93
2013-06-01,"Sudbury",98
2013-06-01,"Alberta",97.5
2013-06-01,"Calgary",94
2013-06-01,"Edmonton",101
2013-06-01,"British Columbia",92.7
2013-06-01,"Kelowna",NA
2013-06-01,"Vancouver",92.3
2013-06-01,"Victoria",96.6
2013-07-01,"Quebec",98.7
2013-07-01,"Montreal",97.9
2013-07-01,"Ontario",86.7
2013-07-01,"Ottawa",102.8
2013-07-01,"Oshawa",NA
2013-07-01,"Toronto",82.8
2013-07-01,"Hamilton",87.9
2013-07-01,"Niagara",87.8
2013-07-01,"Kitchener",91.4
2013-07-01,"Guelph",NA
2013-07-01,"London",92
2013-07-01,"Windsor",93.3
2013-07-01,"Sudbury",98
2013-07-01,"Alberta",97.8
2013-07-01,"Calgary",94.7
2013-07-01,"Edmonton",100.9
2013-07-01,"British Columbia",92.9
2013-07-01,"Kelowna",NA
2013-07-01,"Vancouver",92.6
2013-07-01,"Victoria",96.6
2013-08-01,"Quebec",98.7
2013-08-01,"Montreal",98
2013-08-01,"Ontario",86.8
2013-08-01,"Ottawa",102.5
2013-08-01,"Oshawa",NA
2013-08-01,"Toronto",82.9
2013-08-01,"Hamilton",87.9
2013-08-01,"Niagara",87.9
2013-08-01,"Kitchener",91.5
2013-08-01,"Guelph",NA
2013-08-01,"London",92
2013-08-01,"Windsor",94.4
2013-08-01,"Sudbury",98.1
2013-08-01,"Alberta",98.2
2013-08-01,"Calgary",95.3
2013-08-01,"Edmonton",101.1
2013-08-01,"British Columbia",92.5
2013-08-01,"Kelowna",NA
2013-08-01,"Vancouver",92.2
2013-08-01,"Victoria",96.5
2013-09-01,"Quebec",98.6
2013-09-01,"Montreal",97.9
2013-09-01,"Ontario",86.8
2013-09-01,"Ottawa",102.3
2013-09-01,"Oshawa",NA
2013-09-01,"Toronto",82.9
2013-09-01,"Hamilton",88
2013-09-01,"Niagara",87.8
2013-09-01,"Kitchener",91.5
2013-09-01,"Guelph",NA
2013-09-01,"London",92.3
2013-09-01,"Windsor",94
2013-09-01,"Sudbury",98.1
2013-09-01,"Alberta",98.3
2013-09-01,"Calgary",95.9
2013-09-01,"Edmonton",100.6
2013-09-01,"British Columbia",92.5
2013-09-01,"Kelowna",NA
2013-09-01,"Vancouver",92.2
2013-09-01,"Victoria",96.4
2013-10-01,"Quebec",98.7
2013-10-01,"Montreal",97.9
2013-10-01,"Ontario",86.9
2013-10-01,"Ottawa",102.3
2013-10-01,"Oshawa",NA
2013-10-01,"Toronto",83
2013-10-01,"Hamilton",88.8
2013-10-01,"Niagara",88
2013-10-01,"Kitchener",91.6
2013-10-01,"Guelph",NA
2013-10-01,"London",92.8
2013-10-01,"Windsor",94.7
2013-10-01,"Sudbury",98.1
2013-10-01,"Alberta",98.4
2013-10-01,"Calgary",96
2013-10-01,"Edmonton",100.7
2013-10-01,"British Columbia",92.2
2013-10-01,"Kelowna",NA
2013-10-01,"Vancouver",91.9
2013-10-01,"Victoria",96.3
2013-11-01,"Quebec",98.8
2013-11-01,"Montreal",98.1
2013-11-01,"Ontario",87.1
2013-11-01,"Ottawa",101.7
2013-11-01,"Oshawa",NA
2013-11-01,"Toronto",83.2
2013-11-01,"Hamilton",89.3
2013-11-01,"Niagara",88.8
2013-11-01,"Kitchener",91.6
2013-11-01,"Guelph",NA
2013-11-01,"London",93
2013-11-01,"Windsor",94.6
2013-11-01,"Sudbury",98.1
2013-11-01,"Alberta",98.4
2013-11-01,"Calgary",96.4
2013-11-01,"Edmonton",100.4
2013-11-01,"British Columbia",92
2013-11-01,"Kelowna",NA
2013-11-01,"Vancouver",91.7
2013-11-01,"Victoria",95.7
2013-12-01,"Quebec",98.8
2013-12-01,"Montreal",98.1
2013-12-01,"Ontario",87.3
2013-12-01,"Ottawa",101.8
2013-12-01,"Oshawa",NA
2013-12-01,"Toronto",83.5
2013-12-01,"Hamilton",89.4
2013-12-01,"Niagara",89
2013-12-01,"Kitchener",91.3
2013-12-01,"Guelph",NA
2013-12-01,"London",92.8
2013-12-01,"Windsor",94.4
2013-12-01,"Sudbury",98.1
2013-12-01,"Alberta",98.6
2013-12-01,"Calgary",96.6
2013-12-01,"Edmonton",100.4
2013-12-01,"British Columbia",91.8
2013-12-01,"Kelowna",NA
2013-12-01,"Vancouver",91.5
2013-12-01,"Victoria",95.7
2014-01-01,"Quebec",98.8
2014-01-01,"Montreal",98.1
2014-01-01,"Ontario",87.4
2014-01-01,"Ottawa",101.5
2014-01-01,"Oshawa",NA
2014-01-01,"Toronto",83.7
2014-01-01,"Hamilton",89.1
2014-01-01,"Niagara",88.8
2014-01-01,"Kitchener",90.9
2014-01-01,"Guelph",NA
2014-01-01,"London",92.8
2014-01-01,"Windsor",94.5
2014-01-01,"Sudbury",98.1
2014-01-01,"Alberta",99.3
2014-01-01,"Calgary",98.3
2014-01-01,"Edmonton",100.2
2014-01-01,"British Columbia",91.8
2014-01-01,"Kelowna",NA
2014-01-01,"Vancouver",91.4
2014-01-01,"Victoria",95.7
2014-02-01,"Quebec",98.9
2014-02-01,"Montreal",98.2
2014-02-01,"Ontario",87.7
2014-02-01,"Ottawa",101.6
2014-02-01,"Oshawa",NA
2014-02-01,"Toronto",84.1
2014-02-01,"Hamilton",89.7
2014-02-01,"Niagara",90.4
2014-02-01,"Kitchener",91.8
2014-02-01,"Guelph",NA
2014-02-01,"London",93.2
2014-02-01,"Windsor",95.2
2014-02-01,"Sudbury",98.1
2014-02-01,"Alberta",100
2014-02-01,"Calgary",99.6
2014-02-01,"Edmonton",100.4
2014-02-01,"British Columbia",91.8
2014-02-01,"Kelowna",NA
2014-02-01,"Vancouver",91.4
2014-02-01,"Victoria",95.7
2014-03-01,"Quebec",98.8
2014-03-01,"Montreal",98.1
2014-03-01,"Ontario",87.7
2014-03-01,"Ottawa",101.3
2014-03-01,"Oshawa",NA
2014-03-01,"Toronto",84.1
2014-03-01,"Hamilton",89.7
2014-03-01,"Niagara",90.4
2014-03-01,"Kitchener",91.8
2014-03-01,"Guelph",NA
2014-03-01,"London",93.2
2014-03-01,"Windsor",95.2
2014-03-01,"Sudbury",98.1
2014-03-01,"Alberta",100.6
2014-03-01,"Calgary",100.6
2014-03-01,"Edmonton",100.5
2014-03-01,"British Columbia",91.6
2014-03-01,"Kelowna",NA
2014-03-01,"Vancouver",91.3
2014-03-01,"Victoria",95.4
2014-04-01,"Quebec",98.9
2014-04-01,"Montreal",98.2
2014-04-01,"Ontario",88.3
2014-04-01,"Ottawa",101.1
2014-04-01,"Oshawa",NA
2014-04-01,"Toronto",85
2014-04-01,"Hamilton",89.9
2014-04-01,"Niagara",90.3
2014-04-01,"Kitchener",91.8
2014-04-01,"Guelph",NA
2014-04-01,"London",93.2
2014-04-01,"Windsor",95.2
2014-04-01,"Sudbury",98.1
2014-04-01,"Alberta",100.7
2014-04-01,"Calgary",101.2
2014-04-01,"Edmonton",100.2
2014-04-01,"British Columbia",91.2
2014-04-01,"Kelowna",NA
2014-04-01,"Vancouver",90.8
2014-04-01,"Victoria",95.4
2014-05-01,"Quebec",99
2014-05-01,"Montreal",98.3
2014-05-01,"Ontario",88.3
2014-05-01,"Ottawa",100.6
2014-05-01,"Oshawa",NA
2014-05-01,"Toronto",85
2014-05-01,"Hamilton",90.3
2014-05-01,"Niagara",90.3
2014-05-01,"Kitchener",91.9
2014-05-01,"Guelph",NA
2014-05-01,"London",93.6
2014-05-01,"Windsor",95.3
2014-05-01,"Sudbury",98.5
2014-05-01,"Alberta",101.3
2014-05-01,"Calgary",102
2014-05-01,"Edmonton",100.6
2014-05-01,"British Columbia",90.9
2014-05-01,"Kelowna",NA
2014-05-01,"Vancouver",90.5
2014-05-01,"Victoria",95.4
2014-06-01,"Quebec",98.9
2014-06-01,"Montreal",98.2
2014-06-01,"Ontario",88.7
2014-06-01,"Ottawa",100.4
2014-06-01,"Oshawa",NA
2014-06-01,"Toronto",85.4
2014-06-01,"Hamilton",91.2
2014-06-01,"Niagara",90.2
2014-06-01,"Kitchener",91.9
2014-06-01,"Guelph",NA
2014-06-01,"London",93.9
2014-06-01,"Windsor",95.3
2014-06-01,"Sudbury",98.5
2014-06-01,"Alberta",101.5
2014-06-01,"Calgary",102.2
2014-06-01,"Edmonton",100.7
2014-06-01,"British Columbia",90.8
2014-06-01,"Kelowna",NA
2014-06-01,"Vancouver",90.3
2014-06-01,"Victoria",95.4
2014-07-01,"Quebec",98.9
2014-07-01,"Montreal",98.2
2014-07-01,"Ontario",88.6
2014-07-01,"Ottawa",100.3
2014-07-01,"Oshawa",NA
2014-07-01,"Toronto",85.3
2014-07-01,"Hamilton",91.5
2014-07-01,"Niagara",90.6
2014-07-01,"Kitchener",92
2014-07-01,"Guelph",NA
2014-07-01,"London",94.2
2014-07-01,"Windsor",95.3
2014-07-01,"Sudbury",98.5
2014-07-01,"Alberta",101.6
2014-07-01,"Calgary",102.5
2014-07-01,"Edmonton",100.7
2014-07-01,"British Columbia",90.6
2014-07-01,"Kelowna",NA
2014-07-01,"Vancouver",90.2
2014-07-01,"Victoria",95.4
2014-08-01,"Quebec",98.9
2014-08-01,"Montreal",98.2
2014-08-01,"Ontario",89
2014-08-01,"Ottawa",100.3
2014-08-01,"Oshawa",NA
2014-08-01,"Toronto",85.8
2014-08-01,"Hamilton",91.9
2014-08-01,"Niagara",90.8
2014-08-01,"Kitchener",92.4
2014-08-01,"Guelph",NA
2014-08-01,"London",94.4
2014-08-01,"Windsor",95.3
2014-08-01,"Sudbury",98.5
2014-08-01,"Alberta",101.8
2014-08-01,"Calgary",102.8
2014-08-01,"Edmonton",100.9
2014-08-01,"British Columbia",90.9
2014-08-01,"Kelowna",NA
2014-08-01,"Vancouver",90.5
2014-08-01,"Victoria",95.2
2014-09-01,"Quebec",98.7
2014-09-01,"Montreal",97.9
2014-09-01,"Ontario",89.3
2014-09-01,"Ottawa",100.2
2014-09-01,"Oshawa",NA
2014-09-01,"Toronto",86.1
2014-09-01,"Hamilton",92.1
2014-09-01,"Niagara",90.8
2014-09-01,"Kitchener",92.7
2014-09-01,"Guelph",NA
2014-09-01,"London",95
2014-09-01,"Windsor",95.3
2014-09-01,"Sudbury",98.5
2014-09-01,"Alberta",102
2014-09-01,"Calgary",103
2014-09-01,"Edmonton",101
2014-09-01,"British Columbia",90.8
2014-09-01,"Kelowna",NA
2014-09-01,"Vancouver",90.5
2014-09-01,"Victoria",94.3
2014-10-01,"Quebec",98.7
2014-10-01,"Montreal",98
2014-10-01,"Ontario",89.3
2014-10-01,"Ottawa",99.9
2014-10-01,"Oshawa",NA
2014-10-01,"Toronto",86.2
2014-10-01,"Hamilton",92.5
2014-10-01,"Niagara",90.5
2014-10-01,"Kitchener",93.1
2014-10-01,"Guelph",NA
2014-10-01,"London",95
2014-10-01,"Windsor",95.2
2014-10-01,"Sudbury",98.5
2014-10-01,"Alberta",102.2
2014-10-01,"Calgary",103.3
2014-10-01,"Edmonton",101
2014-10-01,"British Columbia",91.3
2014-10-01,"Kelowna",NA
2014-10-01,"Vancouver",91
2014-10-01,"Victoria",94.2
2014-11-01,"Quebec",98.8
2014-11-01,"Montreal",98
2014-11-01,"Ontario",89.4
2014-11-01,"Ottawa",99.7
2014-11-01,"Oshawa",NA
2014-11-01,"Toronto",86.3
2014-11-01,"Hamilton",92.9
2014-11-01,"Niagara",90.5
2014-11-01,"Kitchener",93.4
2014-11-01,"Guelph",NA
2014-11-01,"London",95.3
2014-11-01,"Windsor",95.2
2014-11-01,"Sudbury",98.5
2014-11-01,"Alberta",102.3
2014-11-01,"Calgary",103.6
2014-11-01,"Edmonton",101.1
2014-11-01,"British Columbia",91.1
2014-11-01,"Kelowna",NA
2014-11-01,"Vancouver",90.8
2014-11-01,"Victoria",94.2
2014-12-01,"Quebec",98.6
2014-12-01,"Montreal",97.8
2014-12-01,"Ontario",89.6
2014-12-01,"Ottawa",99.5
2014-12-01,"Oshawa",NA
2014-12-01,"Toronto",86.5
2014-12-01,"Hamilton",93
2014-12-01,"Niagara",90.4
2014-12-01,"Kitchener",93.9
2014-12-01,"Guelph",NA
2014-12-01,"London",95.9
2014-12-01,"Windsor",95.2
2014-12-01,"Sudbury",98.5
2014-12-01,"Alberta",102.4
2014-12-01,"Calgary",103.7
2014-12-01,"Edmonton",101
2014-12-01,"British Columbia",91
2014-12-01,"Kelowna",NA
2014-12-01,"Vancouver",90.7
2014-12-01,"Victoria",94.2
2015-01-01,"Quebec",98.7
2015-01-01,"Montreal",97.9
2015-01-01,"Ontario",89.5
2015-01-01,"Ottawa",99.1
2015-01-01,"Oshawa",NA
2015-01-01,"Toronto",86.3
2015-01-01,"Hamilton",93
2015-01-01,"Niagara",91.2
2015-01-01,"Kitchener",93.9
2015-01-01,"Guelph",NA
2015-01-01,"London",96.4
2015-01-01,"Windsor",95.2
2015-01-01,"Sudbury",98.5
2015-01-01,"Alberta",102.3
2015-01-01,"Calgary",103.8
2015-01-01,"Edmonton",100.8
2015-01-01,"British Columbia",90.9
2015-01-01,"Kelowna",NA
2015-01-01,"Vancouver",90.6
2015-01-01,"Victoria",93.6
2015-02-01,"Quebec",98.9
2015-02-01,"Montreal",98.3
2015-02-01,"Ontario",89.8
2015-02-01,"Ottawa",99.1
2015-02-01,"Oshawa",NA
2015-02-01,"Toronto",86.8
2015-02-01,"Hamilton",92.9
2015-02-01,"Niagara",91.2
2015-02-01,"Kitchener",94.3
2015-02-01,"Guelph",NA
2015-02-01,"London",96
2015-02-01,"Windsor",95.2
2015-02-01,"Sudbury",98.5
2015-02-01,"Alberta",102.3
2015-02-01,"Calgary",103.7
2015-02-01,"Edmonton",100.9
2015-02-01,"British Columbia",90.9
2015-02-01,"Kelowna",NA
2015-02-01,"Vancouver",90.7
2015-02-01,"Victoria",93.6
2015-03-01,"Quebec",99
2015-03-01,"Montreal",98.4
2015-03-01,"Ontario",90.2
2015-03-01,"Ottawa",98.9
2015-03-01,"Oshawa",NA
2015-03-01,"Toronto",87.3
2015-03-01,"Hamilton",93.1
2015-03-01,"Niagara",91.3
2015-03-01,"Kitchener",94.3
2015-03-01,"Guelph",NA
2015-03-01,"London",95.9
2015-03-01,"Windsor",95.2
2015-03-01,"Sudbury",98.5
2015-03-01,"Alberta",101.8
2015-03-01,"Calgary",102.8
2015-03-01,"Edmonton",100.8
2015-03-01,"British Columbia",90.9
2015-03-01,"Kelowna",NA
2015-03-01,"Vancouver",90.6
2015-03-01,"Victoria",93.6
2015-04-01,"Quebec",98.9
2015-04-01,"Montreal",98.2
2015-04-01,"Ontario",90.4
2015-04-01,"Ottawa",98.9
2015-04-01,"Oshawa",NA
2015-04-01,"Toronto",87.7
2015-04-01,"Hamilton",93.1
2015-04-01,"Niagara",91.4
2015-04-01,"Kitchener",94.3
2015-04-01,"Guelph",NA
2015-04-01,"London",95.6
2015-04-01,"Windsor",95.2
2015-04-01,"Sudbury",98.5
2015-04-01,"Alberta",101.6
2015-04-01,"Calgary",102.4
2015-04-01,"Edmonton",100.8
2015-04-01,"British Columbia",91.7
2015-04-01,"Kelowna",NA
2015-04-01,"Vancouver",91.5
2015-04-01,"Victoria",93.3
2015-05-01,"Quebec",98.6
2015-05-01,"Montreal",98.1
2015-05-01,"Ontario",90.4
2015-05-01,"Ottawa",98.9
2015-05-01,"Oshawa",NA
2015-05-01,"Toronto",87.6
2015-05-01,"Hamilton",93.2
2015-05-01,"Niagara",91.5
2015-05-01,"Kitchener",94.3
2015-05-01,"Guelph",NA
2015-05-01,"London",95.6
2015-05-01,"Windsor",95.4
2015-05-01,"Sudbury",98.8
2015-05-01,"Alberta",101.6
2015-05-01,"Calgary",102.4
2015-05-01,"Edmonton",100.9
2015-05-01,"British Columbia",91.9
2015-05-01,"Kelowna",NA
2015-05-01,"Vancouver",91.7
2015-05-01,"Victoria",93.3
2015-06-01,"Quebec",98.6
2015-06-01,"Montreal",98
2015-06-01,"Ontario",90.9
2015-06-01,"Ottawa",98.9
2015-06-01,"Oshawa",NA
2015-06-01,"Toronto",88.2
2015-06-01,"Hamilton",93.7
2015-06-01,"Niagara",91.5
2015-06-01,"Kitchener",94.6
2015-06-01,"Guelph",NA
2015-06-01,"London",95.6
2015-06-01,"Windsor",95.4
2015-06-01,"Sudbury",99
2015-06-01,"Alberta",101.3
2015-06-01,"Calgary",101.9
2015-06-01,"Edmonton",100.8
2015-06-01,"British Columbia",92.2
2015-06-01,"Kelowna",NA
2015-06-01,"Vancouver",92.1
2015-06-01,"Victoria",93.3
2015-07-01,"Quebec",98.8
2015-07-01,"Montreal",98.3
2015-07-01,"Ontario",91.2
2015-07-01,"Ottawa",98.9
2015-07-01,"Oshawa",NA
2015-07-01,"Toronto",88.6
2015-07-01,"Hamilton",94.5
2015-07-01,"Niagara",91.4
2015-07-01,"Kitchener",94.3
2015-07-01,"Guelph",NA
2015-07-01,"London",95.9
2015-07-01,"Windsor",95.4
2015-07-01,"Sudbury",98.9
2015-07-01,"Alberta",101.2
2015-07-01,"Calgary",101.7
2015-07-01,"Edmonton",100.7
2015-07-01,"British Columbia",92.7
2015-07-01,"Kelowna",NA
2015-07-01,"Vancouver",92.7
2015-07-01,"Victoria",93.3
2015-08-01,"Quebec",98.9
2015-08-01,"Montreal",98.5
2015-08-01,"Ontario",91.8
2015-08-01,"Ottawa",98.8
2015-08-01,"Oshawa",NA
2015-08-01,"Toronto",89.4
2015-08-01,"Hamilton",95.3
2015-08-01,"Niagara",92.2
2015-08-01,"Kitchener",94.5
2015-08-01,"Guelph",NA
2015-08-01,"London",96.1
2015-08-01,"Windsor",95.6
2015-08-01,"Sudbury",98.9
2015-08-01,"Alberta",101.2
2015-08-01,"Calgary",101.6
2015-08-01,"Edmonton",100.7
2015-08-01,"British Columbia",92.8
2015-08-01,"Kelowna",NA
2015-08-01,"Vancouver",92.8
2015-08-01,"Victoria",93
2015-09-01,"Quebec",98.9
2015-09-01,"Montreal",98.5
2015-09-01,"Ontario",92
2015-09-01,"Ottawa",99.1
2015-09-01,"Oshawa",NA
2015-09-01,"Toronto",89.6
2015-09-01,"Hamilton",95.4
2015-09-01,"Niagara",92.2
2015-09-01,"Kitchener",94.7
2015-09-01,"Guelph",NA
2015-09-01,"London",96.1
2015-09-01,"Windsor",95.5
2015-09-01,"Sudbury",98.9
2015-09-01,"Alberta",101.2
2015-09-01,"Calgary",101.6
2015-09-01,"Edmonton",100.7
2015-09-01,"British Columbia",93.3
2015-09-01,"Kelowna",NA
2015-09-01,"Vancouver",93.3
2015-09-01,"Victoria",93
2015-10-01,"Quebec",98.9
2015-10-01,"Montreal",98.5
2015-10-01,"Ontario",92.4
2015-10-01,"Ottawa",99.2
2015-10-01,"Oshawa",NA
2015-10-01,"Toronto",90.2
2015-10-01,"Hamilton",95.9
2015-10-01,"Niagara",91.8
2015-10-01,"Kitchener",94.7
2015-10-01,"Guelph",NA
2015-10-01,"London",96.1
2015-10-01,"Windsor",95.5
2015-10-01,"Sudbury",98.9
2015-10-01,"Alberta",101.5
2015-10-01,"Calgary",101.7
2015-10-01,"Edmonton",101.3
2015-10-01,"British Columbia",93.7
2015-10-01,"Kelowna",NA
2015-10-01,"Vancouver",93.7
2015-10-01,"Victoria",93.5
2015-11-01,"Quebec",99.3
2015-11-01,"Montreal",99.1
2015-11-01,"Ontario",92.6
2015-11-01,"Ottawa",98.9
2015-11-01,"Oshawa",NA
2015-11-01,"Toronto",90.5
2015-11-01,"Hamilton",96
2015-11-01,"Niagara",92.1
2015-11-01,"Kitchener",94.7
2015-11-01,"Guelph",NA
2015-11-01,"London",96.2
2015-11-01,"Windsor",95.2
2015-11-01,"Sudbury",99.1
2015-11-01,"Alberta",101.5
2015-11-01,"Calgary",101.8
2015-11-01,"Edmonton",101.2
2015-11-01,"British Columbia",94.3
2015-11-01,"Kelowna",NA
2015-11-01,"Vancouver",94.4
2015-11-01,"Victoria",93.5
2015-12-01,"Quebec",99.2
2015-12-01,"Montreal",99.1
2015-12-01,"Ontario",92.8
2015-12-01,"Ottawa",99
2015-12-01,"Oshawa",NA
2015-12-01,"Toronto",90.7
2015-12-01,"Hamilton",96
2015-12-01,"Niagara",93.2
2015-12-01,"Kitchener",94.9
2015-12-01,"Guelph",NA
2015-12-01,"London",96.2
2015-12-01,"Windsor",95.2
2015-12-01,"Sudbury",98.9
2015-12-01,"Alberta",101.5
2015-12-01,"Calgary",101.8
2015-12-01,"Edmonton",101.2
2015-12-01,"British Columbia",94.5
2015-12-01,"Kelowna",NA
2015-12-01,"Vancouver",94.6
2015-12-01,"Victoria",93.5
2016-01-01,"Quebec",99.2
2016-01-01,"Montreal",99.1
2016-01-01,"Ontario",93
2016-01-01,"Ottawa",99
2016-01-01,"Oshawa",NA
2016-01-01,"Toronto",91
2016-01-01,"Hamilton",96.1
2016-01-01,"Niagara",93.4
2016-01-01,"Kitchener",94.9
2016-01-01,"Guelph",NA
2016-01-01,"London",96.7
2016-01-01,"Windsor",95.2
2016-01-01,"Sudbury",98.9
