"Date","GEO","num_fam","num_cpl","num_lone","num_single"
2013-07-01,"Alberta",1101190,955400,145790,625810
2013-07-01,"British Columbia",1273510,1108360,165150,798660
2013-07-01,"Calgary",370090,327140,42950,217040
2013-07-01,"Edmonton",346650,298940,47700,208200
2013-07-01,"Sudbury",45990,38390,7600,27910
2013-07-01,"Guelph",41240,35760,5480,22380
2013-07-01,"Hamilton",202620,170360,32260,114150
2013-07-01,"Kelowna",53880,46880,7010,33340
2013-07-01,"Kitchener",136610,116790,19820,71580
2013-07-01,"London",133030,111480,21550,80550
2013-07-01,"Montreal",1048580,895250,153330,802360
2013-07-01,"Ontario",3713890,3156030,557860,2038030
2013-07-01,"Oshawa",103730,86280,17460,48260
2013-07-01,"Ottawa",254910,219590,35310,157200
2013-07-01,"Quebec",2227360,1916540,310820,1604810
2013-07-01,"Niagara",113710,94590,19120,68150
2013-07-01,"Toronto",1619090,1379950,239150,877140
2013-07-01,"Vancouver",663280,585040,78230,416940
2013-07-01,"Victoria",96480,83930,12550,72990
2013-07-01,"Windsor",92050,75510,16540,53480
2014-07-01,"Alberta",1130340,983840,146500,639220
2014-07-01,"British Columbia",1293650,1129320,164330,815000
2014-07-01,"Calgary",381280,338050,43240,220660
2014-07-01,"Edmonton",358600,310720,47880,215420
2014-07-01,"Sudbury",45900,38300,7600,28130
2014-07-01,"Guelph",41740,36230,5510,22870
2014-07-01,"Hamilton",204230,172040,32190,116020
2014-07-01,"Kelowna",55520,48560,6960,34770
2014-07-01,"Kitchener",138040,118280,19770,73460
2014-07-01,"London",133800,112260,21540,82650
2014-07-01,"Montreal",1056240,903900,152340,814070
2014-07-01,"Ontario",3748260,3192230,556030,2082450
2014-07-01,"Oshawa",104960,87570,17390,49600
2014-07-01,"Ottawa",257970,222730,35240,160410
2014-07-01,"Quebec",2239280,1930260,309020,1629390
2014-07-01,"Niagara",114580,95590,18990,69660
2014-07-01,"Toronto",1639040,1400550,238480,900210
2014-07-01,"Vancouver",673870,595740,78120,423420
2014-07-01,"Victoria",98040,85720,12310,74640
2014-07-01,"Windsor",92370,76040,16330,54370
2015-07-01,"Alberta",1137100,987360,149740,629210
2015-07-01,"British Columbia",1313540,1147740,165800,835360
2015-07-01,"Calgary",386650,342020,44630,212350
2015-07-01,"Edmonton",365630,316110,49520,216910
2015-07-01,"Sudbury",45700,38100,7600,28690
2015-07-01,"Guelph",42430,36850,5580,23790
2015-07-01,"Hamilton",204700,172200,32500,120020
2015-07-01,"Kelowna",57080,49970,7110,35810
2015-07-01,"Kitchener",139950,119800,20150,75230
2015-07-01,"London",135180,113260,21930,84650
2015-07-01,"Montreal",1061300,907620,153670,826960
2015-07-01,"Ontario",3780210,3218890,561320,2133020
2015-07-01,"Oshawa",106500,88810,17690,51070
2015-07-01,"Ottawa",261390,225400,35980,164060
2015-07-01,"Quebec",2248730,1936130,312590,1657450
2015-07-01,"Niagara",115860,96880,18990,71910
2015-07-01,"Toronto",1655210,1414960,240250,921610
2015-07-01,"Vancouver",683470,605080,78390,432680
2015-07-01,"Victoria",99810,87250,12570,76430
2015-07-01,"Windsor",93130,76810,16320,55890
2016-07-01,"Alberta",1141230,989840,151400,629890
2016-07-01,"British Columbia",1331260,1166230,165030,853900
2016-07-01,"Calgary",389430,344340,45090,212150
2016-07-01,"Edmonton",368090,317800,50290,217820
2016-07-01,"Sudbury",47010,39290,7720,29670
2016-07-01,"Guelph",43520,37790,5740,24320
2016-07-01,"Hamilton",206900,174590,32310,120400
2016-07-01,"Kelowna",58270,51190,7080,36870
2016-07-01,"Kitchener",147720,127160,20560,80020
2016-07-01,"London",136930,115220,21710,86270
2016-07-01,"Montreal",1100510,943940,156570,859740
2016-07-01,"Ontario",3819360,3260160,559200,2179400
2016-07-01,"Oshawa",107650,89910,17740,52250
2016-07-01,"Ottawa",270300,234020,36270,169700
2016-07-01,"Quebec",2258760,1950110,308640,1678400
2016-07-01,"Niagara",116730,97910,18810,72480
2016-07-01,"Toronto",1670460,1431290,239170,945850
2016-07-01,"Vancouver",691720,613930,77790,443710
2016-07-01,"Victoria",101220,88810,12410,77510
2016-07-01,"Windsor",94390,78170,16230,57100
2017-07-01,"Alberta",1154550,993630,160920,651370
2017-07-01,"British Columbia",1352620,1180250,172370,878860
2017-07-01,"Calgary",394980,346350,48630,225870
2017-07-01,"Edmonton",374340,320900,53440,222110
2017-07-01,"Sudbury",46910,39130,7780,30230
2017-07-01,"Guelph",43890,38070,5820,25040
2017-07-01,"Hamilton",208820,175700,33110,123060
2017-07-01,"Kelowna",59440,51980,7460,38030
2017-07-01,"Kitchener",150700,129400,21300,83590
2017-07-01,"London",140460,117850,22610,89660
2017-07-01,"Montreal",1114180,951880,162300,881690
2017-07-01,"Ontario",3866240,3285990,580250,2251000
2017-07-01,"Oshawa",108770,90480,18290,55110
2017-07-01,"Ottawa",275600,238130,37470,175610
2017-07-01,"Quebec",2280230,1962650,317580,1716210
2017-07-01,"Niagara",117940,98640,19300,74300
2017-07-01,"Toronto",1692790,1441700,251080,983500
2017-07-01,"Vancouver",702590,620860,81740,457320
2017-07-01,"Victoria",103010,90090,12920,79090
2017-07-01,"Windsor",95540,78690,16850,58930
2018-07-01,"Alberta",1167790,1003860,163930,666750
2018-07-01,"British Columbia",1375770,1202220,173550,909520
2018-07-01,"Calgary",401760,352170,49590,230720
2018-07-01,"Edmonton",379440,324930,54510,227640
2018-07-01,"Sudbury",46700,38780,7920,31040
2018-07-01,"Guelph",44470,38600,5880,26010
2018-07-01,"Hamilton",210630,177350,33280,127670
2018-07-01,"Kelowna",60090,52540,7550,39660
2018-07-01,"Kitchener",153740,132310,21430,89430
2018-07-01,"London",142270,119700,22570,93390
2018-07-01,"Montreal",1128340,964300,164040,904940
2018-07-01,"Ontario",3932420,3347850,584570,2346660
2018-07-01,"Oshawa",110290,91630,18660,56280
2018-07-01,"Ottawa",280460,242420,38040,182690
2018-07-01,"Quebec",2295650,1972740,322910,1758060
2018-07-01,"Niagara",119020,99530,19490,77100
2018-07-01,"Toronto",1736890,1485110,251780,1029080
2018-07-01,"Vancouver",719730,637380,82360,474250
2018-07-01,"Victoria",104250,91390,12860,80920
2018-07-01,"Windsor",94820,78170,16650,62060
2019-07-01,"Alberta",1184050,1015940,168110,687390
2019-07-01,"British Columbia",1404160,1228450,175710,944320
2019-07-01,"Calgary",410380,359680,50700,239180
2019-07-01,"Edmonton",386690,330520,56160,235350
2019-07-01,"Sudbury",46690,38710,7980,31910
2019-07-01,"Guelph",45220,39310,5910,27130
2019-07-01,"Hamilton",213660,180010,33650,130590
2019-07-01,"Kelowna",61610,53950,7660,41200
2019-07-01,"Kitchener",156830,135260,21570,94130
2019-07-01,"London",144200,121450,22750,96980
2019-07-01,"Montreal",1138240,973700,164540,920940
2019-07-01,"Ontario",3985380,3397070,588320,2428200
2019-07-01,"Oshawa",112590,93490,19110,58080
2019-07-01,"Ottawa",285910,247550,38370,190020
2019-07-01,"Quebec",2313190,1988120,325060,1783690
2019-07-01,"Niagara",120400,100710,19700,79440
2019-07-01,"Toronto",1766650,1514960,251690,1070690
2019-07-01,"Vancouver",737630,654950,82690,496100
2019-07-01,"Victoria",106550,93440,13100,83230
2019-07-01,"Windsor",95400,78920,16470,62970
